city id,city,country,lat,lon,temp_astronomical_twilight_end,hum_astronomical_twilight_end,cloudiness_astronomical_twilight_end,windiness_astronomical_twilight_end
631780,Vieremä,FI,63.8384,26.997,5.0,72,90,13.8
1580541,Hoi An,VN,15.8794,108.335,71.6,73,20,4.61
5847387,Kahuku,US,21.6803,-157.9511,73.98,83,90,4.61
533964,Loukhi,RU,66.0764,33.0381,-18.35,89,100,7.74
7645768,Sorol,FM,8.1435,140.394,82.42,78,100,18.63
2152721,Pooncarie,AU,-33.3833,142.5667,83.77,24,22,18.54
1569805,Tinh Phu Yen,VN,13.1667,109.1667,62.4,91,29,5.01
7670994,Kayangel,PW,8.0823,134.7173,81.91,78,72,8.34
3924826,Rondônia,BR,-10.8667,-61.95,72.01,97,88,2.8
503254,Radishchevo,RU,52.85,47.8833,-1.39,92,100,4.68
382250,Sabun,SS,4.5361,29.2578,81.34,20,72,3.65
3446232,Tramandaí,BR,-29.9847,-50.1336,75.7,76,0,13.98
1507636,Chunskiy,RU,56.0815,99.6342,-7.46,90,77,2.33
1129678,Qarah Bāgh,AF,34.9402,61.7759,41.2,67,100,12.06
2380519,Chingueṭṭi,MR,20.4404,-12.2622,70.45,20,0,11.92
1254133,Tuensang,IN,26.2833,94.8333,59.14,63,0,0.83
506528,Popov,RU,48.1818,42.8533,30.78,97,100,13.11
7839404,Katherine,AU,-14.6501,132.1741,78.8,100,75,5.75
370247,Medingbor,SS,6.4598,29.3997,83.23,16,7,3.18
2126682,Bilibino,RU,68.0546,166.4372,-26.23,77,65,1.68
98862,An Najaf,IQ,31.25,43.8333,57.29,38,0,11.48
6161366,Taloyoak,CA,69.5372,-93.5211,-25.6,75,90,8.05
2027748,Amur Oblast,RU,54.0,128.0,-13.86,88,76,2.48
1182998,Bela,PK,26.2271,66.3111,79.84,17,0,5.88
2524459,Lampedusa,IT,35.5,12.6,59.0,94,15,20.71
1529195,Shihezi,CN,44.3,86.0333,29.37,98,100,2.66
1270351,Haridwar,IN,29.9667,78.1667,64.4,77,40,3.44
2199295,Northern,FJ,-16.5,179.5,73.27,95,86,4.68
2259947,Gamboma,CG,-1.8764,15.8644,82.38,53,95,3.56
110831,Āzādshahr,IR,37.087,55.174,46.4,87,90,4.12
1492810,Seliyarovo,RU,61.2906,70.3425,-11.09,90,99,6.02
5861836,Eureka Roadhouse,US,61.9386,-147.1681,-4.81,89,77,0.81
3422891,Ittoqqortoormiit,GL,70.4846,-21.9622,24.82,95,100,13.31
2344415,Duku,NG,11.2361,4.9073,80.64,14,26,7.02
2080422,Jabor,MH,5.921,169.6434,81.91,75,96,21.25
1629652,Riau,ID,0.5005,101.749,82.4,69,20,1.99
355005,Al Jubayl,EG,28.1984,33.6314,61.3,55,0,23.02
1267772,Karhal,IN,27.0003,78.9414,68.07,25,0,2.62
5653884,Gateway (historical),US,48.9991,-115.1732,36.34,82,90,6.08
1337606,Eydhafushi,MV,5.1033,73.0708,82.6,72,99,9.15
88319,Benghazi,LY,32.1167,20.0667,58.64,63,0,16.37
5543199,Millard,US,39.1255,-113.1252,29.35,54,1,8.05
1214488,Meulaboh,ID,4.1363,96.1285,80.83,77,73,1.9
3630473,Pedregal,VE,11.0204,-70.1206,75.7,65,46,11.3
117656,Salmās,IR,38.1973,44.7653,26.6,93,20,6.91
1789053,Xingao,CN,39.0261,112.9616,51.06,42,0,3.36
2270408,Calheta,PT,32.7167,-17.1833,56.37,63,40,14.97
2250677,Kayar,SN,14.9192,-17.1211,67.15,56,0,19.57
779350,Karasjok,NO,69.4719,25.5112,5.0,72,75,35.68
288602,Camp,OM,20.6667,58.8833,74.61,77,0,7.99
