city id,city,country,lat,lon,temp_sunset,hum_sunset,cloudiness_sunset,windiness_sunset
2450849,Sokolo,ML,14.7328,-6.1219,84.18,14,0,9.08
3862254,Catriel,AR,-37.8791,-67.7956,86.77,12,0,21.65
3841894,Paso de Indios,AR,-43.8623,-69.046,55.49,40,92,22.88
1917124,Xiaozhen,CN,23.9854,114.026,68.22,57,0,3.56
4030699,Pitcairn Islands,PN,-25.0667,-130.1,78.42,67,14,7.45
3659210,Chinchipe,EC,-2.2,-81.0,78.8,83,0,11.5
4675536,Bolivar Peninsula,US,29.4783,-94.5799,62.51,77,90,5.75
2634950,Virkie,GB,59.8833,-1.3,44.6,87,0,19.57
2473803,El Borma,TN,31.6917,9.2062,69.87,21,0,2.44
3558315,Gibara,CU,21.1097,-76.1317,78.8,61,20,18.41
6620042,L'Oudon,FR,48.9971,0.0097,55.56,67,0,9.22
4036495,Nikao,CK,-21.2067,-159.8094,75.2,100,75,9.22
1262062,Naliya,IN,23.2667,68.8333,81.75,20,0,8.79
6091069,Northwest Territories,CA,69.5006,-121.5044,-23.8,76,100,19.57
1626542,Sorong,ID,-0.8833,131.25,82.96,71,99,1.77
3421193,Paamiut,GL,61.994,-49.6678,14.31,87,62,7.47
2474871,Zaouia Sidi Bekri,DZ,27.7925,-0.2468,84.2,15,73,23.02
3572603,Congo Town,BS,24.1667,-77.5833,73.09,78,97,28.68
5462567,Colfax,US,36.8756,-105.1261,31.46,36,1,9.22
7302494,Nai Harn,TH,7.7786,98.3066,86.0,51,20,3.44
1996551,Riau Islands,ID,0.6167,106.9833,79.41,83,41,17.96
5887666,Asinkaanumevatt,CA,52.2581,-96.8525,28.4,64,94,6.91
1807687,Huaicheng,CN,23.9051,112.1931,73.18,52,7,1.01
1508961,Borki,RU,58.4858,92.0823,-11.07,89,99,4.79
1271940,Farrukhnagar,IN,17.0778,78.2011,76.78,61,75,6.91
